Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
BGD,N26-41-17.96,E088-19-33.99,NAV,VECF-UGT,POINT (88.32610833333332 26.688322222222222)
BGD,N26-41-17.96,E088-19-33.99,NAV,VEGF,POINT (88.32610833333332 26.688322222222222)
BGD,N44-49-09.73,E020-18-40.20,NAV,ADR,POINT (20.31116666666667 44.81936944444445)
BGD,N44-49-09.73,E020-18-40.20,NAV,ADR-E,POINT (20.31116666666667 44.81936944444445)
BGD,N44-49-09.73,E020-18-40.20,NAV,LYBA,POINT (20.31116666666667 44.81936944444445)
BGE,S31-23-26.55,W054-06-35.01,NAV,SBCW,POINT (-54.109725000000005 -31.390708333333333)
BGI,N13-04-30.14,W059-29-01.76,NAV,TTZP,POINT (-59.48382222222222 13.075038888888889)
BGN,N32-00-47.19,E034-52-31.33,NAV,LLLL,POINT (34.875369444444445 32.013108333333335)
BGN,N32-00-47.19,E034-52-31.33,NAV,LLPT,POINT (34.875369444444445 32.013108333333335)
BGN,N21-10-10.34,E094-55-41.38,NAV,VYYF,POINT (94.92816111111111 21.16953888888889)
BGO,N17-19-06.55,E096-31-11.53,NAV,VYYF,POINT (96.51986944444444 17.31848611111111)
BGQ,N61-34-09.99,W149-58-01.76,NAV,PAZA,POINT (-149.96715555555556 61.56944166666667)
BGQ,N61-34-09.99,W149-58-01.76,NAV,PAZA-D,POINT (-149.96715555555556 61.56944166666667)
BGR,N44-50-30.45,W068-52-26.24,NAV,KZBW,POINT (-68.87395555555555 44.841791666666666)
BGR,N41-56-51.68,E003-12-31.92,NAV,LECB,POINT (3.2088666666666668 41.947688888888884)
BGR,N41-56-51.68,E003-12-31.92,NAV,LECB-CCC,POINT (3.2088666666666668 41.947688888888884)
BGR,N41-56-51.68,E003-12-31.92,NAV,LECB-E,POINT (3.2088666666666668 41.947688888888884)
BGR,N41-56-51.68,E003-12-31.92,NAV,LECB-N,POINT (3.2088666666666668 41.947688888888884)
BGR,N41-56-51.68,E003-12-31.92,NAV,LECB-TMA,POINT (3.2088666666666668 41.947688888888884)
BGS,N32-23-08.13,W101-29-01.23,NAV,KZFW,POINT (-101.483675 32.38559166666666)
BGS,N42-35-13.81,E027-32-16.74,NAV,LBSR,POINT (27.537983333333337 42.58716944444445)
BGS,N42-35-13.81,E027-32-16.74,NAV,LBSR-V,POINT (27.537983333333337 42.58716944444445)
BH,N46-08-37.99,E100-42-59.01,NDB,ZMUB,POINT (100.71639166666667 46.14388611111111)
BH,N46-08-37.99,E100-42-59.01,NDB,ZMUB-B,POINT (100.71639166666667 46.14388611111111)
BHA,N20-17-32.92,E041-37-44.86,NAV,OEJD,POINT (41.629127777777775 20.29247777777778)
BHA,N20-17-32.92,E041-37-44.86,NAV,OEJD-2,POINT (41.629127777777775 20.29247777777778)
BHA,N20-17-32.92,E041-37-44.86,NAV,OEJD-S,POINT (41.629127777777775 20.29247777777778)
BHD,N50-23-54.96,W003-29-37.30,NAV,EGTT,POINT (-3.4936944444444444 50.3986)
BHD,N50-23-54.96,W003-29-37.30,NAV,EGTT-W,POINT (-3.4936944444444444 50.3986)
BHD,N50-23-54.96,W003-29-37.30,NAV,EGVV,POINT (-3.4936944444444444 50.3986)
BHI,S32-00-02.39,E141-28-47.93,NAV,YASP,POINT (141.47998055555556 -32.00066388888889)
BHI,S32-00-02.39,E141-28-47.93,NAV,YBKE,POINT (141.47998055555556 -32.00066388888889)
BHR,N26-15-30.00,E050-39-19.15,NAV,OBBB,POINT (50.655319444444444 26.258333333333333)
BHR,N26-15-30.00,E050-39-19.15,NAV,OBBB-C,POINT (50.655319444444444 26.258333333333333)
BHS,N30-30-42.02,E104-12-00.00,NAV,ZPKM,POINT (104.2 30.511672222222224)
BHS,N30-30-42.02,E104-12-00.00,NAV,ZUUU,POINT (104.2 30.511672222222224)
BHU,N23-16-48.88,E069-39-56.76,NAV,VABB-U5,POINT (69.66576666666667 23.280244444444442)
BHU,N23-16-48.88,E069-39-56.76,NAV,VABF,POINT (69.66576666666667 23.280244444444442)
BHU,N23-16-48.88,E069-39-56.76,NAV,VABF-UAC,POINT (69.66576666666667 23.280244444444442)
BHY,N21-35-12.03,E109-25-53.98,NAV,ZGNN,POINT (109.43166111111111 21.586675)
BHY,N21-35-12.03,E109-25-53.98,NAV,ZGZU,POINT (109.43166111111111 21.586675)
BHY,N21-35-12.03,E109-25-53.98,NAV,ZJSA,POINT (109.43166111111111 21.586675)
BHY,N21-35-12.03,E109-25-53.98,NAV,ZJSY-L,POINT (109.43166111111111 21.586675)
BHZ,S19-50-08.78,W044-00-12.85,NAV,SBBS,POINT (-44.003569444444445 -19.83577222222222)
BHZ,S19-50-08.78,W044-00-12.85,NAV,SBBS-E,POINT (-44.003569444444445 -19.83577222222222)
BHZ,S19-50-08.78,W044-00-12.85,NAV,SBBS-NE,POINT (-44.003569444444445 -19.83577222222222)
BHZ,S19-50-08.78,W044-00-12.85,NAV,SBBS-SE,POINT (-44.003569444444445 -19.83577222222222)
BI,N69-24-38.98,E086-12-43.01,NDB,UNKL,POINT (86.21194722222222 69.41082777777778)
BI,N69-24-38.98,E086-12-43.01,NDB,UNKL-N,POINT (86.21194722222222 69.41082777777778)
BI,N69-24-38.98,E086-12-43.01,NDB,UNKL-N1,POINT (86.21194722222222 69.41082777777778)
BIA,N13-12-32.86,E077-41-40.88,NAV,VOBL,POINT (77.69468888888889 13.209127777777777)
BIA,N13-12-32.86,E077-41-40.88,NAV,VOMF,POINT (77.69468888888889 13.209127777777777)
BIA,N13-12-32.86,E077-41-40.88,NAV,VOMF-UAC,POINT (77.69468888888889 13.209127777777777)
BIA,N13-12-32.86,E077-41-40.88,NAV,VOMF-UBL,POINT (77.69468888888889 13.209127777777777)
BIB,N38-55-13.28,W088-28-54.50,NAV,KZKC,POINT (-88.48180555555555 38.92035555555555)
BIG,N40-17-03.83,E027-21-55.90,NAV,LTBB,POINT (27.36552777777778 40.28439722222222)
BIG,N40-17-03.83,E027-21-55.90,NAV,LTBB-2,POINT (27.36552777777778 40.28439722222222)
BIG,N40-17-03.83,E027-21-55.90,NAV,LTBB-W78,POINT (27.36552777777778 40.28439722222222)
BIG,N40-17-03.83,E027-21-55.90,NAV,LTBB-WN,POINT (27.36552777777778 40.28439722222222)
BIG,N40-17-03.83,E027-21-55.90,NAV,LTXX,POINT (27.36552777777778 40.28439722222222)
BIG,N64-00-16.05,W145-43-02.10,NAV,PAZA,POINT (-145.71725 64.00445833333333)
BIG,N64-00-16.05,W145-43-02.10,NAV,PAZA-D,POINT (-145.71725 64.00445833333333)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTL,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTL-S,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTT,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTT-D,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTT-S,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGTT-SC,POINT (0.0348055555555556 51.330872222222226)
BIG,N51-19-51.14,E000-02-05.30,NAV,EGVV,POINT (0.0348055555555556 51.330872222222226)
BIH,N37-22-37.01,W118-21-59.50,NAV,KZOA,POINT (-118.36652777777778 37.37694722222222)
BIK,S01-10-56.88,E136-05-10.12,NAV,WAAF,POINT (136.08614444444444 -1.1824666666666668)
BIK,S01-10-56.88,E136-05-10.12,NAV,WAAF-PA,POINT (136.08614444444444 -1.1824666666666668)
BIK,N13-06-50.96,E123-40-35.12,NAV,RPHI,POINT (123.67642222222223 13.114155555555556)
BIK,N13-06-50.96,E123-40-35.12,NAV,RPHI-C,POINT (123.67642222222223 13.114155555555556)
BIK,N13-06-50.96,E123-40-35.12,NAV,RPHI-CS,POINT (123.67642222222223 13.114155555555556)
BIK,N13-06-50.96,E123-40-35.12,NAV,RPHI-S,POINT (123.67642222222223 13.114155555555556)
BIL,N45-48-30.84,W108-37-28.69,NAV,KZLC,POINT (-108.6246361111111 45.808566666666664)
BIS,N11-55-14.30,W015-38-41.39,NAV,GOOO,POINT (-15.644830555555554 11.920638888888888)
BIS,N34-46-33.90,E005-45-49.41,NAV,DAAA,POINT (5.763725 34.77608333333333)
BIS,N46-45-42.34,W100-39-55.47,NAV,KZMP,POINT (-100.66540833333335 46.76176111111111)
BJ,N13-20-17.20,W016-39-19.83,NAV,GOOO,POINT (-16.655508333333334 13.338111111111111)
BJA,N36-42-55.62,E005-04-36.01,NDB,DAAA,POINT (5.076669444444444 36.715450000000004)
BJA,S03-20-46.84,E029-19-19.26,NAV,HBBA,POINT (29.322016666666666 -3.3463444444444446)
BJA,S03-20-46.84,E029-19-19.26,NAV,HTDC,POINT (29.322016666666666 -3.3463444444444446)
BJC,N39-54-46.91,W105-08-20.36,NAV,KZDV,POINT (-105.13898888888889 39.91303055555555)
BJD,N32-58-20.70,E059-12-00.47,NAV,OIIX,POINT (59.20013055555556 32.97241666666667)
BJD,N32-58-20.70,E059-12-00.47,NAV,TEH-6W,POINT (59.20013055555556 32.97241666666667)
BJD,N32-58-20.70,E059-12-00.47,NAV,TEH-6,POINT (59.20013055555556 32.97241666666667)
BJD,N32-58-20.70,E059-12-00.47,NAV,TEH-E,POINT (59.20013055555556 32.97241666666667)
BJD,N32-58-20.70,E059-12-00.47,NAV,TEH-N,POINT (59.20013055555556 32.97241666666667)
BJX,N20-59-51.20,W101-28-57.29,NAV,MMEX,POINT (-101.48258055555556 20.997555555555557)
BJX,N20-59-51.20,W101-28-57.29,NAV,MMFR,POINT (-101.48258055555556 20.997555555555557)
BJZ,N40-03-17.98,E113-29-36.02,NAV,ZBAA,POINT (113.49333888888889 40.05499444444444)
BJZ,N40-03-17.98,E113-29-36.02,NAV,ZBAA-C,POINT (113.49333888888889 40.05499444444444)
BJZ,N40-03-17.98,E113-29-36.02,NAV,ZBPE,POINT (113.49333888888889 40.05499444444444)
BK,N64-18-53.05,W096-03-53.04,NDB,CZEG,POINT (-96.06473333333334 64.3147361111111)
BK,S33-55-42.00,E150-59-18.59,NDB,YBIK,POINT (150.9884972222222 -33.92833333333333)
BK,S33-55-42.00,E150-59-18.59,NDB,YGUN,POINT (150.9884972222222 -33.92833333333333)
BK,N29-53-46.40,E121-20-04.24,NDB,ZSHA,POINT (121.33451111111111 29.89622222222222)
BK,N29-53-46.40,E121-20-04.24,NDB,ZSSS,POINT (121.33451111111111 29.89622222222222)
BK,N29-53-46.40,E121-20-04.24,NDB,ZSSS-C,POINT (121.33451111111111 29.89622222222222)
BKA,N56-51-33.83,W135-33-04.72,NAV,PAZA,POINT (-135.55131111111112 56.85939722222222)
BKA,N56-51-33.83,W135-33-04.72,NAV,PAZA-D,POINT (-135.55131111111112 56.85939722222222)
BKD,N53-02-04.29,E011-32-46.40,NAV,EDWW,POINT (11.546222222222221 53.034524999999995)
BKD,N53-02-04.29,E011-32-46.40,NAV,EDWW-MAR,POINT (11.546222222222221 53.034524999999995)
BKD,N53-02-04.29,E011-32-46.40,NAV,EDWW-MRZ,POINT (11.546222222222221 53.034524999999995)
BKD,N53-02-04.29,E011-32-46.40,NAV,EDWW-BOR,POINT (11.546222222222221 53.034524999999995)
BKD,N53-02-04.29,E011-32-46.40,NAV,EDXX,POINT (11.546222222222221 53.034524999999995)
BKE,N44-50-26.13,W117-48-28.36,NAV,KZLC,POINT (-117.80787777777778 44.84059166666667)
BKE,S30-02-36.48,E145-56-57.53,NDB,YASP,POINT (145.9493138888889 -30.043466666666667)
BKE,S30-02-36.48,E145-56-57.53,NDB,YBKE,POINT (145.9493138888889 -30.043466666666667)
BKK,N13-53-36.83,E100-35-46.27,NAV,VTBB,POINT (100.59618611111111 13.893563888888888)
BKK,N13-53-36.83,E100-35-46.27,NAV,VTBB-1S,POINT (100.59618611111111 13.893563888888888)
BKK,N13-53-36.83,E100-35-46.27,NAV,VTBB-S,POINT (100.59618611111111 13.893563888888888)
BKK,N13-53-36.83,E100-35-46.27,NAV,VTBB-SW,POINT (100.59618611111111 13.893563888888888)
BKL,S03-51-53.07,E102-20-34.30,NAV,WIIF,POINT (102.3428611111111 -3.8647416666666667)
BKL,S03-51-53.07,E102-20-34.30,NAV,WIIF-JT,POINT (102.3428611111111 -3.8647416666666667)
BKL,S03-51-53.07,E102-20-34.30,NAV,WIIF-PB,POINT (102.3428611111111 -3.8647416666666667)
BKO,N12-32-47.76,W007-55-46.94,NAV,GOOO,POINT (-7.929705555555556 12.5466)
BKV,S02-18-58.11,E028-48-42.46,NDB,FZZA,POINT (28.811794444444445 -2.3161416666666663)
BKY,N07-44-50.25,W005-04-29.76,NAV,DIII,POINT (-5.074933333333333 7.7472916666666665)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTL,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTL-N,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTT,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTT-C,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTT-M,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGTT-SC,POINT (0.0619055555555556 51.98977222222222)
BKY,N51-59-23.18,E000-03-42.86,NAV,EGVV,POINT (0.0619055555555556 51.98977222222222)
BKZ,N41-07-37.11,E029-08-34.40,NAV,LTBB,POINT (29.142888888888887 41.126975)
BKZ,N41-07-37.11,E029-08-34.40,NAV,LTBB-3,POINT (29.142888888888887 41.126975)
BKZ,N41-07-37.11,E029-08-34.40,NAV,LTBB-W78,POINT (29.142888888888887 41.126975)
BKZ,N41-07-37.11,E029-08-34.40,NAV,LTBB-WN,POINT (29.142888888888887 41.126975)
BKZ,N41-07-37.11,E029-08-34.40,NAV,LTXX,POINT (29.142888888888887 41.126975)
BL,N44-12-03.99,E133-07-15.97,NDB,UHHH,POINT (133.1211027777778 44.20110833333334)
BL,N44-12-03.99,E133-07-15.97,NDB,UHHH-3,POINT (133.1211027777778 44.20110833333334)
BL,N22-47-52.20,E090-17-52.20,NDB,VGFR,POINT (90.29783333333333 22.797833333333337)
BLD,N35-59-44.81,W114-51-48.90,NAV,KZLA,POINT (-114.86358333333332 35.995780555555555)
BLF,N37-18-23.17,W081-11-39.35,NAV,KZID,POINT (-81.1942638888889 37.30643611111111)
BLG,N50-23-36.03,E127-25-35.22,NAV,UHHH,POINT (127.42645 50.393341666666664)
BLG,N50-23-36.03,E127-25-35.22,NAV,UHHH-1,POINT (127.42645 50.393341666666664)
BLH,N33-35-45.83,W114-45-40.59,NAV,KZLA,POINT (-114.761275 33.59606388888889)
BLH,N46-52-59.10,E074-59-01.73,NAV,UAAA,POINT (74.98381388888889 46.88308333333333)
BLI,S08-45-02.12,E115-09-47.90,NAV,WAAF,POINT (115.16330555555557 -8.750588888888888)
BLI,S08-45-02.12,E115-09-47.90,NAV,WAAF-BI,POINT (115.16330555555557 -8.750588888888888)
BLM,N47-37-58.13,E007-29-58.20,NAV,,POINT (7.4995 47.63281388888889)
BLN,N38-09-09.20,W003-37-28.98,NAV,LECM-ALL,POINT (-3.6247166666666666 38.15255555555555)
BLN,N38-09-09.20,W003-37-28.98,NAV,LECS,POINT (-3.6247166666666666 38.15255555555555)
BLN,N38-09-09.20,W003-37-28.98,NAV,LECS-NCS,POINT (-3.6247166666666666 38.15255555555555)
BLN,S33-41-32.67,E115-23-42.64,NDB,YHYD,POINT (115.39517777777779 -33.69240833333333)
BLN,S33-41-32.67,E115-23-42.64,NDB,YJAR,POINT (115.39517777777779 -33.69240833333333)
BLO,N42-40-01.56,E023-48-50.18,NAV,LBSR,POINT (23.813938888888888 42.6671)
BLT,N31-31-44.02,E031-07-21.03,NAV,HECC,POINT (31.122508333333332 31.528894444444443)
BLT,N31-31-44.02,E031-07-21.03,NAV,HECC-2,POINT (31.122508333333332 31.528894444444443)
BLT,N04-15-34.89,E020-59-51.43,NAV,FZZA,POINT (20.997619444444446 4.259691666666667)
BLU,N11-59-40.26,W083-46-21.43,NAV,MHCC,POINT (-83.77261944444444 11.994516666666666)
BLV,N43-18-15.12,W002-55-31.32,NAV,LECM,POINT (-2.9253666666666667 43.304199999999994)
BLV,N43-18-15.12,W002-55-31.32,NAV,LECM-ALL,POINT (-2.9253666666666667 43.304199999999994)
BLV,N43-18-15.12,W002-55-31.32,NAV,LECM-BDP,POINT (-2.9253666666666667 43.304199999999994)
BLV,N43-18-15.12,W002-55-31.32,NAV,LECM-BLU,POINT (-2.9253666666666667 43.304199999999994)
BLV,N43-18-15.12,W002-55-31.32,NAV,LECM-R1,POINT (-2.9253666666666667 43.304199999999994)
BLV,S29-06-02.37,E026-18-02.33,NAV,FAJA,POINT (26.300647222222224 -29.100658333333335)
BLV,S29-06-02.37,E026-18-02.33,NAV,FAJA-C,POINT (26.300647222222224 -29.100658333333335)
BLV,S29-06-02.37,E026-18-02.33,NAV,FAJA-S,POINT (26.300647222222224 -29.100658333333335)
BLV,S29-06-02.37,E026-18-02.33,NAV,FASA,POINT (26.300647222222224 -29.100658333333335)
BLZ,N60-01-01.98,E037-45-18.96,NAV,ULLL,POINT (37.755266666666664 60.01721666666666)
BLZ,N60-01-01.98,E037-45-18.96,NAV,ULLL-W,POINT (37.755266666666664 60.01721666666666)
BLZ,N60-01-01.98,E037-45-18.96,NAV,ULLL-WK,POINT (37.755266666666664 60.01721666666666)
BM,N62-27-36.00,E155-44-47.02,NDB,UHMM,POINT (155.74639444444443 62.46)
BM,N62-27-36.00,E155-44-47.02,NDB,UHMM-N,POINT (155.74639444444443 62.46)
BM,N24-16-09.61,E097-14-54.55,NDB,VYYF,POINT (97.2484861111111 24.26933611111111)
BMC,N44-49-37.00,W000-43-15.98,NAV,LFBB,POINT (-0.7211055555555556 44.82694444444445)
BMC,N44-49-37.00,W000-43-15.98,NAV,LFBB-R,POINT (-0.7211055555555556 44.82694444444445)
BMC,N44-49-37.00,W000-43-15.98,NAV,LFBB-UN,POINT (-0.7211055555555556 44.82694444444445)
BMK,N54-15-46.72,E048-13-31.78,NAV,UWWW,POINT (48.22549444444444 54.26297777777778)
BMK,N54-15-46.72,E048-13-31.78,NAV,UWWW-SW,POINT (48.22549444444444 54.26297777777778)
BMK,N54-15-46.72,E048-13-31.78,NAV,UWWW-W,POINT (48.22549444444444 54.26297777777778)
BML,N32-25-00.76,W006-17-52.87,NAV,GMMM-ALL,POINT (-6.298019444444444 32.41687777777778)
BML,N32-25-00.76,W006-17-52.87,NAV,GMMM,POINT (-6.298019444444444 32.41687777777778)
BML,N32-25-00.76,W006-17-52.87,NAV,GMMM-S,POINT (-6.298019444444444 32.41687777777778)
BMR,N47-40-16.40,E023-20-45.49,NDB,LRBB,POINT (23.345969444444442 47.67122222222222)
BMR,N47-40-16.40,E023-20-45.49,NDB,LRBB-A,POINT (23.345969444444442 47.67122222222222)
BMR,N47-40-16.40,E023-20-45.49,NDB,LRBB-N,POINT (23.345969444444442 47.67122222222222)
BMT,N12-39-59.50,E108-07-22.80,NAV,XVCL,POINT (108.12299999999999 12.666527777777778)
BMT,N12-39-59.50,E108-07-22.80,NAV,VVHM,POINT (108.12299999999999 12.666527777777778)
BMT,N12-39-59.50,E108-07-22.80,NAV,VVHM-A,POINT (108.12299999999999 12.666527777777778)
BMT,N12-39-59.50,E108-07-22.80,NAV,VVHM-2,POINT (108.12299999999999 12.666527777777778)
BN,S27-21-57.91,E153-08-21.20,NAV,YINL,POINT (153.1392222222222 -27.366086111111112)
BN,S27-21-57.91,E153-08-21.20,NAV,YNSA,POINT (153.1392222222222 -27.366086111111112)
BN,N08-57-07.48,E125-29-01.61,NAV,RPHI,POINT (125.48378055555555 8.952077777777777)
BN,N08-57-07.48,E125-29-01.61,NAV,RPHI-SE,POINT (125.48378055555555 8.952077777777777)
BN,N08-57-07.48,E125-29-01.61,NAV,RPHI-S,POINT (125.48378055555555 8.952077777777777)
BNA,N36-39-04.65,E003-35-29.47,NDB,DAAA,POINT (3.5915194444444447 36.651291666666665)
BNA,N32-07-28.03,E020-15-13.02,NAV,HLLL,POINT (20.253616666666666 32.124452777777776)
BNA,N10-06-44.79,W064-41-25.43,NAV,SVZM,POINT (-64.69039722222223 10.112441666666665)
BNA,N36-08-13.03,W086-41-05.17,NAV,KZME,POINT (-86.68476944444444 36.13695277777778)
BNA,S28-50-04.12,E153-33-44.68,NDB,YGOL,POINT (153.56241111111112 -28.834477777777778)
BNA,S28-50-04.12,E153-33-44.68,NDB,YINL,POINT (153.56241111111112 -28.834477777777778)
BND,N27-11-49.43,E056-22-00.30,NAV,OIIX,POINT (56.36675 27.197063888888888)
BND,N27-11-49.43,E056-22-00.30,NAV,TEH-5W,POINT (56.36675 27.197063888888888)
BND,N27-11-49.43,E056-22-00.30,NAV,TEH-5,POINT (56.36675 27.197063888888888)
BND,N27-11-49.43,E056-22-00.30,NAV,TEH-E,POINT (56.36675 27.197063888888888)
BND,N27-11-49.43,E056-22-00.30,NAV,TEH-S,POINT (56.36675 27.197063888888888)
BND,S06-52-55.47,E107-30-44.41,NAV,WIIF,POINT (107.51233611111111 -6.882075)
BND,S06-52-55.47,E107-30-44.41,NAV,WIIF-BD,POINT (107.51233611111111 -6.882075)
BND,S06-52-55.47,E107-30-44.41,NAV,WIIF-SG,POINT (107.51233611111111 -6.882075)
BNE,N13-44-00.10,W060-58-37.42,NAV,TTZP,POINT (-60.97706111111111 13.73336111111111)
BNE,N50-37-29.23,E001-54-25.61,NAV,LFEE,POINT (1.9071138888888888 50.62478611111111)
BNE,N50-37-29.23,E001-54-25.61,NAV,LFEE-N,POINT (1.9071138888888888 50.62478611111111)
BNE,N50-37-29.23,E001-54-25.61,NAV,LFFF,POINT (1.9071138888888888 50.62478611111111)
BNE,N50-37-29.23,E001-54-25.61,NAV,LFFF-AENB,POINT (1.9071138888888888 50.62478611111111)
BNE,N50-37-29.23,E001-54-25.61,NAV,LFFF-RPAW,POINT (1.9071138888888888 50.62478611111111)
BNG,N38-51-19.99,E040-36-02.77,NAV,LTAA,POINT (40.600769444444445 38.85555277777778)
BNG,N38-51-19.99,E040-36-02.77,NAV,LTAA-16,POINT (40.600769444444445 38.85555277777778)
BNG,N38-51-19.99,E040-36-02.77,NAV,LTAA-E,POINT (40.600769444444445 38.85555277777778)
BNG,N38-51-19.99,E040-36-02.77,NAV,LTAA-ES,POINT (40.600769444444445 38.85555277777778)
BNG,N38-51-19.99,E040-36-02.77,NAV,LTXX,POINT (40.600769444444445 38.85555277777778)
BNN,N65-27-25.41,E012-12-51.66,NAV,ENBD,POINT (12.21435 65.45705833333334)
BNN,N65-27-25.41,E012-12-51.66,NAV,ENBD-C,POINT (12.21435 65.45705833333334)
BNN,N65-27-25.41,E012-12-51.66,NAV,ENOR,POINT (12.21435 65.45705833333334)
BNO,N49-09-00.23,E016-41-33.32,NAV,LKAA,POINT (16.69258888888889 49.15006388888889)
BNR,N31-52-53.51,E077-09-04.51,NDB,VIDF,POINT (77.15125277777778 31.881530555555557)
BNR,N31-52-53.51,E077-09-04.51,NDB,VIDF-LD4,POINT (77.15125277777778 31.881530555555557)
BNR,N31-52-53.51,E077-09-04.51,NDB,VIDF-UAC,POINT (77.15125277777778 31.881530555555557)
BNR,N31-52-53.51,E077-09-04.51,NDB,VIDF-UD4,POINT (77.15125277777778 31.881530555555557)
BNS,N08-37-00.33,W070-13-13.92,NAV,SVZM,POINT (-70.22053333333334 8.616758333333333)
BO,N01-22-47.02,E173-08-45.02,NDB,NFFF,POINT (173.14583888888887 1.3797277777777779)
BO,N50-37-42.98,E030-53-32.01,NDB,UKBV,POINT (30.892225 50.62860555555556)
BO,N50-37-42.98,E030-53-32.01,NDB,UKR,POINT (30.892225 50.62860555555556)
BOA,N44-32-13.31,E011-17-26.38,NAV,LIPP,POINT (11.290661111111111 44.53703055555555)
BOD,N28-07-58.97,E006-50-21.06,NAV,DAAA,POINT (6.839183333333333 28.133047222222224)
BOG,N04-50-48.00,W074-19-23.97,NAV,SKED,POINT (-74.323325 4.846666666666667)
BOI,N43-33-10.11,W116-11-31.61,NAV,KZLC,POINT (-116.1921138888889 43.55280833333333)
BOR,N60-25-17.40,E015-31-09.11,NAV,ESAA,POINT (15.519197222222223 60.421499999999995)
BOR,N60-25-17.40,E015-31-09.11,NAV,ESOS,POINT (15.519197222222223 60.421499999999995)
BOR,N60-25-17.40,E015-31-09.11,NAV,ESOS-1,POINT (15.519197222222223 60.421499999999995)
BOR,N60-25-17.40,E015-31-09.11,NAV,ESOS-N,POINT (15.519197222222223 60.421499999999995)
BOS,N42-21-26.80,W070-59-22.39,NAV,KZBW,POINT (-70.98955277777777 42.35744444444445)
BOU,S22-54-52.96,E139-54-24.99,NDB,YISA,POINT (139.90694166666668 -22.91471111111111)
BOY,N43-27-47.37,W108-17-58.93,NAV,KZLC,POINT (-108.29970277777778 43.46315833333334)
BPI,N42-34-46.01,W110-06-33.15,NAV,KZLC,POINT (-110.10920833333333 42.57944722222223)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTL,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTL-N,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTT,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTT-D,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTT-S,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGTT-SC,POINT (-0.1067305555555556 51.749747222222226)
BPK,N51-44-59.09,W000-06-24.23,NAV,EGVV,POINT (-0.1067305555555556 51.749747222222226)
BPL,N23-16-59.69,E077-20-11.93,NAV,VABF,POINT (77.33664722222221 23.283247222222222)
BPL,N23-16-59.69,E077-20-11.93,NAV,VABF-UAC,POINT (77.33664722222221 23.283247222222222)
BPL,N23-16-59.69,E077-20-11.93,NAV,VANP,POINT (77.33664722222221 23.283247222222222)
BPL,N23-16-59.69,E077-20-11.93,NAV,VANP-UAC,POINT (77.33664722222221 23.283247222222222)
BPN,N27-03-14.03,E045-26-42.97,NAV,OEJD,POINT (45.44526944444444 27.053897222222222)
BPN,N27-03-14.03,E045-26-42.97,NAV,OEJD-3,POINT (45.44526944444444 27.053897222222222)
BPN,N27-03-14.03,E045-26-42.97,NAV,OEJD-E,POINT (45.44526944444444 27.053897222222222)
BPN,N27-03-14.03,E045-26-42.97,NAV,OERD,POINT (45.44526944444444 27.053897222222222)
BPN,N27-03-14.03,E045-26-42.97,NAV,OERD-E,POINT (45.44526944444444 27.053897222222222)
BPN,N25-42-26.51,E091-58-42.62,NAV,VECF,POINT (91.97850555555556 25.70736388888889)
BPN,N25-42-26.51,E091-58-42.62,NAV,VECF-UAC,POINT (91.97850555555556 25.70736388888889)
BPN,N25-42-26.51,E091-58-42.62,NAV,VECF-UGT,POINT (91.97850555555556 25.70736388888889)
BPN,N25-42-26.51,E091-58-42.62,NAV,VEGF,POINT (91.97850555555556 25.70736388888889)
BPN,S01-14-44.69,E116-56-25.08,NAV,WAAF,POINT (116.94030000000001 -1.2457472222222223)
BPN,S01-14-44.69,E116-56-25.08,NAV,WAAF-BN,POINT (116.94030000000001 -1.2457472222222223)
